Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification
Cefaclor,Antiviral,Inhaler,391 mg,Eli Lilly and Company,Depression,Over-the-Counter
Ibuprofen,Antidepressant,Tablet,782 mg,Novartis AG,Fever,Prescription
Cefaclor,Antiviral,Ointment,404 mg,Novo Nordisk A/S,Pain,Over-the-Counter
Ibuprofen,Antidepressant,Tablet,549 mg,"Gilead Sciences, Inc.",Infection,Over-the-Counter
Clarithromycin,Antipyretic,Injection,375 mg,Johnson & Johnson,Fever,Prescription
Dextromethorphan,Antidiabetic,Ointment,272 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Over-the-Counter
Paracetamol,Analgesic,Capsule,225 mg,Sanofi S.A.,Depression,Over-the-Counter
Ibuprofen,Antipyretic,Tablet,118 mg,Pfizer Inc.,Virus,Over-the-Counter
Cephalexin,Antipyretic,Tablet,999 mg,AstraZeneca plc,Depression,Prescription
Paracetamol,Antidepressant,Tablet,650 mg,Novo Nordisk A/S,Depression,Prescription
Ibuprofen,Antidiabetic,Inhaler,886 mg,Boehringer Ingelheim GmbH,Depression,Over-the-Counter
Cefmetazole,Antipyretic,Inhaler,222 mg,Johnson & Johnson,Fungus,Over-the-Counter
Clarithromycin,Antifungal,Cream,90 mg,Novartis AG,Virus,Over-the-Counter
Metoprolol,Antiviral,Capsule,218 mg,AbbVie Inc.,Infection,Prescription
Paracetamol,Antipyretic,Ointment,66 mg,CSL Limited,Fungus,Prescription
Acetaminophen,Antibiotic,Tablet,21 mg,Novartis AG,Virus,Over-the-Counter
Paracetamol,Antiseptic,Capsule,279 mg,"Merck & Co., Inc.",Depression,Prescription
Dextromethorphan,Antiviral,Ointment,252 mg,Amgen Inc.,Fever,Over-the-Counter
Metronidazole,Antiseptic,Cream,44 mg,Novartis AG,Depression,Over-the-Counter
Dextromethorphan,Antifungal,Injection,731 mg,Bristol-Myers Squibb Company,Virus,Over-the-Counter
Paracetamol,Antiviral,Drops,865 mg,Teva Pharmaceutical Industries Ltd.,Infection,Over-the-Counter
Paracetamol,Analgesic,Capsule,101 mg,Takeda Pharmaceutical Company Limited,Fungus,Prescription
Ibuprofen,Antidepressant,Syrup,504 mg,Pfizer Inc.,Diabetes,Over-the-Counter
Dextromethorphan,Antidiabetic,Ointment,359 mg,Bayer AG,Fever,Over-the-Counter
Acetaminophen,Analgesic,Ointment,755 mg,Bayer AG,Wound,Over-the-Counter
Clarithromycin,Analgesic,Drops,636 mg,Takeda Pharmaceutical Company Limited,Wound,Over-the-Counter
Ketoprofen,Antiseptic,Injection,113 mg,"Merck & Co., Inc.",Wound,Prescription
Clarithromycin,Analgesic,Ointment,512 mg,"Merck & Co., Inc.",Fungus,Prescription
Ibuprofen,Antifungal,Capsule,157 mg,GlaxoSmithKline plc,Pain,Over-the-Counter
Cefadroxil,Antibiotic,Tablet,38 mg,"Gilead Sciences, Inc.",Diabetes,Over-the-Counter
Acyclovir,Antiviral,Ointment,731 mg,AbbVie Inc.,Infection,Over-the-Counter
Acetaminophen,Antibiotic,Drops,603 mg,Biogen Inc.,Pain,Over-the-Counter
Ibuprofen,Antifungal,Inhaler,451 mg,Boehringer Ingelheim GmbH,Depression,Over-the-Counter
Metformin,Antibiotic,Injection,19 mg,Biogen Inc.,Fever,Prescription
Ibuprofen,Antidepressant,Cream,25 mg,"Gilead Sciences, Inc.",Pain,Over-the-Counter
Dextromethorphan,Antidiabetic,Capsule,708 mg,"Gilead Sciences, Inc.",Fungus,Prescription
Paracetamol,Antidepressant,Syrup,678 mg,AstraZeneca plc,Diabetes,Over-the-Counter
Acetaminophen,Analgesic,Cream,948 mg,Roche Holding AG,Infection,Over-the-Counter
Acetaminophen,Analgesic,Ointment,543 mg,Novo Nordisk A/S,Depression,Over-the-Counter
Paracetamol,Antidepressant,Injection,537 mg,Roche Holding AG,Fever,Prescription
Dextromethorphan,Analgesic,Cream,176 mg,Sanofi S.A.,Fever,Prescription
Ibuprofen,Antifungal,Drops,319 mg,Takeda Pharmaceutical Company Limited,Fever,Over-the-Counter
Paracetamol,Antiseptic,Tablet,281 mg,Novartis AG,Fever,Over-the-Counter
Amoxicillin,Antidepressant,Syrup,60 mg,CSL Limited,Virus,Prescription
Paracetamol,Antipyretic,Cream,540 mg,Novo Nordisk A/S,Fever,Over-the-Counter
Dextromethorphan,Antidepressant,Injection,138 mg,Boehringer Ingelheim GmbH,Fever,Over-the-Counter
Ibuprofen,Antiviral,Syrup,589 mg,Teva Pharmaceutical Industries Ltd.,Virus,Over-the-Counter
Clarithromycin,Antiviral,Capsule,372 mg,Pfizer Inc.,Depression,Prescription
Amoxicillin,Antipyretic,Capsule,961 mg,GlaxoSmithKline plc,Depression,Prescription
Clarithromycin,Antifungal,Tablet,97 mg,Boehringer Ingelheim GmbH,Infection,Prescription
Amoxicillin,Antidepressant,Cream,230 mg,Johnson & Johnson,Infection,Prescription
Clarithromycin,Analgesic,Capsule,20 mg,Johnson & Johnson,Depression,Prescription
Ketoprofen,Antiseptic,Tablet,486 mg,Johnson & Johnson,Virus,Prescription
Clarithromycin,Antiseptic,Injection,463 mg,Bayer AG,Pain,Over-the-Counter
Metoprolol,Antibiotic,Capsule,89 mg,AbbVie Inc.,Fever,Prescription
Ibuprofen,Antibiotic,Drops,919 mg,Biogen Inc.,Depression,Prescription
Ibuprofen,Antiviral,Drops,617 mg,CSL Limited,Diabetes,Over-the-Counter
Acetaminophen,Antibiotic,Inhaler,742 mg,"Merck & Co., Inc.",Depression,Over-the-Counter
Metformin,Analgesic,Syrup,761 mg,Novartis AG,Depression,Over-the-Counter
Paracetamol,Antidepressant,Inhaler,332 mg,"Merck & Co., Inc.",Depression,Prescription
Cefazolin,Antidiabetic,Syrup,456 mg,"Merck & Co., Inc.",Wound,Prescription
Paracetamol,Antidepressant,Inhaler,166 mg,"Gilead Sciences, Inc.",Pain,Prescription
Dextromethorphan,Antidiabetic,Injection,286 mg,Eli Lilly and Company,Virus,Over-the-Counter
Cephalexin,Analgesic,Tablet,184 mg,"Gilead Sciences, Inc.",Diabetes,Over-the-Counter
Dextromethorphan,Antipyretic,Cream,523 mg,Takeda Pharmaceutical Company Limited,Virus,Prescription
Acetaminophen,Antifungal,Capsule,151 mg,Eli Lilly and Company,Infection,Prescription
Amoxicillin,Antiviral,Capsule,378 mg,Bristol-Myers Squibb Company,Infection,Over-the-Counter
Metronidazole,Antibiotic,Injection,148 mg,Amgen Inc.,Diabetes,Over-the-Counter
Ibuprofen,Antiseptic,Cream,4 mg,Novartis AG,Diabetes,Prescription
Clarithromycin,Antibiotic,Inhaler,181 mg,AstraZeneca plc,Infection,Prescription
Acetaminophen,Antifungal,Injection,687 mg,CSL Limited,Fever,Prescription
Methicillin,Antiseptic,Ointment,609 mg,Boehringer Ingelheim GmbH,Pain,Over-the-Counter
